diplom,nom_diplome,secteur_discipline_oraccle,secteur_discipline_sise
9170361,BACHELORS OF EN PLURI DROIT- SCIENCES POLITIQUES - BAC A BAC+3,91,61
9170336,BACHELOR OF EN SCIENCES JURIDIQUES - BAC A BAC+3,91,36
9091561,AUTRES DIPLOMES EN PLURI DROIT - SCIENCES POLITIQUES - BAC+1 A BAC+5,90,61
9170370,BACHELOR OF EN PLURI SCIENCES - BAC A BAC+3,91,70
9620161,DIPLOME DE SPECIALISATION PROFESSIONNELLE EN PLURI SCIENCES ECONOMIQUES ET GESTION - BAC A BAC+1,61,62
1000327,STATISTIQUE ET INFORMATIQUE DECISIONNELLE,39,42
2201610,DROIT- ECONOMIE- GESTION : ECONOMIE ET MANAGEMENT,39,38
1000290,HYGIENE- SECURITE- ENVIRONNEMENT,06,16
2215321,DROIT- ECONOMIE- GESTION : ETUDES INTERNATIONALES ET EUROPEENNES,36,37
2225059,DROIT- ECONOMIE- GESTION : ETUDES INTERNATIONALES ET EUROPEENNES,36,37
2200297,SCIENCES HUMAINES ET SOCIALES : INGENIERIE DE LA COGNITION- DE LA CREATION ET DES APPRENTISSAGES (IC2A),35,14
2215892,SCIENCES HUMAINES ET SOCIALES : HISTOIRE ET HISTOIRE DE L'ART,66,27
2200859,SCIENCES HUMAINES ET SOCIALES : SCIENCES DU TERRITOIRE,28,29
2211050,SCIENCES HUMAINES ET SOCIALES : INGENIERIE DE LA COGNITION- DE LA CREATION ET DES APPRENTISSAGES (IC2A),35,14
2220616,SCIENCES HUMAINES ET SOCIALES : INGENIERIE DE LA COGNITION- DE LA CREATION ET DES APPRENTISSAGES (IC2A),35,04
2211052,SCIENCES HUMAINES ET SOCIALES : INGENIERIE DE LA COGNITION- DE LA CREATION ET DES APPRENTISSAGES (IC2A),35,04
2203375,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES POUR L'INGENIEUR,14,01
2003871,MANAGEMENT DES ORGANISATIONS,38,27
2224863,SCIENCES- TECHNOLOGIES- SANTE : GESTION DE L'ENVIRONNEMENT ET VALORISATION DES RESSOURCES NATURELLES,03,05
2214992,SCIENCES- TECHNOLOGIES- SANTE : GESTION DE L'ENVIRONNEMENT ET VALORISATION DES RESSOURCES NATURELLES,03,05
2211617,DROIT- ECONOMIE- GESTION : SCIENCES DU MANAGEMENT,40,39
2211616,DROIT- ECONOMIE- GESTION : SCIENCES DU MANAGEMENT,40,39
2203802,SCIENCES HUMAINES ET SOCIALES : HISTOIRE - METIERS DE LA CULTURE- DES ARCHIVES ET DU DOCUMENT (MECADOC),35,27
1000300,SCIENCE ET GENIE DES MATERIAUX,11,13
2203993,SCIENCES- TECHNOLOGIES- SANTE : MATERIAUX ET NANOSCIENCES,03,43
2203992,SCIENCES- TECHNOLOGIES- SANTE : MATERIAUX ET NANOSCIENCES,03,43
2213420,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE ET AMENAGEMENT,28,29
2202331,DROIT- ECONOMIE- GESTION : TRAVAIL ET EMPLOI,38,62
2005302,SYSTEMES INFORMATIQUES ET LOGICIELS,16,14
2003341,ACTIVITES CULTURELLES ET ARTISTIQUES,21,35
2002644,DEVELOPPEMENT ET PROTECTION DU PATRIMOINE CULTUREL,21,29
2202288,ARTS- LETTRES- LANGUES : DIDACTIQUES DES LANGUES,17,22
2211622,DROIT- ECONOMIE- GESTION : MANAGEMENT,38,39
2211624,DROIT- ECONOMIE- GESTION : MANAGEMENT,38,39
2215909,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'EDUCATION DE L'ENSEIGNEMENT ET DE LA FORMATION,66,34
2006288,INDUSTRIES CHIMIQUES ET PHARMACEUTIQUES,16,03
2216122,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE,43,02
2216008,SCIENCES- TECHNOLOGIES- SANTE : CHIMIE,43,03
2202173,SCIENCES- TECHNOLOGIES- SANTE : NUTRITION- SANTE- ALIMENTS,70,06
2201993,DROIT- ECONOMIE- GESTION : MANAGEMENT,62,39
2220946,SCIENCES DE LA MER ET DU LITTORAL : SCIENCES BIOLOGIQUES MARINES,05,06
2003855,ACTIVITES ET TECHNIQUES DE COMMUNICATION,14,35
2003604,GESTION DE LA PRODUCTION INDUSTRIELLE,02,16
2201776,SCIENCES- TECHNOLOGIES- SANTE : MATERIAUX,13,02
2223737,SCIENCES HUMAINES ET SOCIALES : CULTURES- ARTS ET SOCIETES,27,30
2201825,DROIT- ECONOMIE- GESTION : MANAGEMENT,40,39
2201833,ARTS- LETTRES- LANGUES : ARTS- LETTRES LANGUES ET CIVILISATIONS,20,64
2201834,ARTS- LETTRES- LANGUES : ARTS- LETTRES LANGUES ET CIVILISATIONS,20,64
2201832,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DE L'INGENIEUR,02,16
2215549,ARTS- LETTRES- LANGUES : ARTS- LETTRES LANGUES ET CIVILISATIONS,19,34
2216164,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DE L'INGENIEUR,43,34
2220728,ARTS- LETTRES- LANGUES : ARTS- LETTRES LANGUES ET CIVILISATIONS,25,64
2215835,SCIENCES HUMAINES ET SOCIALES : CULTURES- ARTS ET SOCIETES,27,34
2201831,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DE L'INGENIEUR,02,16
2210896,DROIT- ECONOMIE- GESTION : AFFAIRES EUROPEENNES ET INTERNATIONALES,38,36
2215871,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE- AMENAGEMENT- SOCIOLOGIE,28,34
2101097,ARTS- LETTRES- LANGUES : ETUDES FRANCO-ALLEMANDES:COMMUNICATION ET COOPERATION TRANSFRONTALIERES,35,23
2003432,ENERGIE ET GENIE CLIMATIQUE,29,02
2213631,DROIT- ECONOMIE- GESTION : MANAGEMENT,62,39
2215881,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,27,67
2215579,ARTS- LETTRES- LANGUES : METIERS DE L'ENSEIGNEMENT SCOLAIRE- DE LA FORMATION ET DE LA CULTURE,19,67
2101816,SCIENCES HUMAINES ET SOCIALES : CULTURE ET PATRIMOINES,66,35
2005271,COMMERCE,67,35
2221399,SCIENCES HUMAINES ET SOCIALES : GEOENVIRONNEMENT,29,28
2003234,ENERGIE ET GENIE CLIMATIQUE,02,16
2221382,SCIENCES HUMAINES ET SOCIALES : DEVELOPPEMENT DES  TERRITOIRES ET NOUVELLES RURALITES,28,29
2101397,SCIENCES HUMAINES ET SOCIALES : ECHANGES INTERNATIONAUX,67,24
2006794,PRODUCTION INDUSTRIELLE,70,16
2003409,COMMERCE,38,39
2213928,SCIENCES HUMAINES ET SOCIALES : DEVELOPPEMENT DES  TERRITOIRES ET NOUVELLES RURALITES,28,29
2006435,SYSTEMES INFORMATIQUES ET LOGICIELS,16,14
2003718,AGRONOMIE,05,06
2002531,AUTOMATIQUE ET INFORMATIQUE INDUSTRIELLE,14,02
2006446,TECHNIQUES ET ACTIVITES DE L'IMAGE ET DU SON,16,35
2211942,SCIENCES HUMAINES ET SOCIALES : DEVELOPPEMENT DES  TERRITOIRES ET NOUVELLES RURALITES,28,29
2202061,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,33,32
2006325,MANAGEMENT DES ORGANISATIONS,38,62
2101242,SCIENCES- TECHNOLOGIES- SANTE : BIOLOGIE SANTE,09,06
2210610,DROIT- ECONOMIE- GESTION : ADMINISTRATION PUBLIQUE,29,40
2203414,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES ET TECHNOLOGIES DE L'INFORMATION ET DE LA COMMUNICATION,14,15
2203409,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DES MATERIAUX,03,13
2200698,SCIENCES- TECHNOLOGIES- SANTE : CHIMIE- CONTROLE ET PROTECTION DE L'ENVIRONNEMENT,05,03
2203396,SCIENCES HUMAINES ET SOCIALES : SOCIETE- HISTOIRE ET TERRITOIRES,27,28
2203410,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES ET TECHNIQUES DE L'INFORMATION ET DE LA COMMUNICATION,14,42
2201923,DROIT- ECONOMIE- GESTION : DROIT DE L'ENVIRONNEMENT,29,36
2210609,DROIT- ECONOMIE- GESTION : ADMINISTRATION PUBLIQUE,29,36
2200704,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES ET TECHNOLOGIES DE L'INFORMATION ET DE LA COMMUNICATION,14,01
2003642,SECURITE DES BIENS ET DES PERSONNES,36,16
2212563,DROIT- ECONOMIE- GESTION : DROIT DES AFFAIRES,39,36
2203413,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES ET TECHNIQUES DE L'INFORMATION ET DE LA COMMUNICATION,14,15
2203391,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES ET TECHNIQUES DE L'INFORMATION ET DE LA COMMUNICATION,14,01
2006447,TECHNIQUES ET ACTIVITES DE L'IMAGE ET DU SON,70,35
2215879,SCIENCES HUMAINES ET SOCIALES-SCIENCES- TECHNOLOGIES- SANTE : INFORMATION-DOCUMENTATION-COMMUNICATION,67,14
2006111,ACTIVITES ET TECHNIQUES DE COMMUNICATION,14,35
2003407,COMMERCE,38,39
2003229,ELECTRICITE ET ELECTRONIQUE,16,15
2002759,HOTELLERIE ET TOURISME,36,39
2006416,SANTE,02,16
2003586,SECURITE DES BIENS ET DES PERSONNES,12,16
2003789,MANAGEMENT DES ORGANISATIONS,39,40
2005212,HABILLEMENT- MODE ET TEXTILE,38,16
2003487,INTERVENTION SOCIALE,38,28
2002699,GESTION DE LA PRODUCTION INDUSTRIELLE,16,11
2006789,PRODUCTION INDUSTRIELLE,16,11
2005213,MANAGEMENT DES ORGANISATIONS,38,62
2006182,COMMERCE,62,39
2101103,ARTS- LETTRES- LANGUES : ETUDES CULTURELLES,67,64
2101002,DROIT- ECONOMIE- GESTION : DROIT ET ECONOMIE,36,38
2203591,DROIT- ECONOMIE- GESTION : ETUDES EUROPEENNES,38,36
2204008,SCIENCES- TECHNOLOGIES- SANTE : METHODES INFORMATIQUES APPLIQUEES A LA GESTION DES ENTREPRISES (MIAGE),14,39
2204582,SCIENCES- TECHNOLOGIES- SANTE : BIOLOGIE ET SANTE,69,06
2215726,DROIT- ECONOMIE- GESTION : SCIENCES DU MANAGEMENT,62,39
2215721,DROIT- ECONOMIE- GESTION : SCIENCES DU MANAGEMENT,62,39
2204579,SCIENCES- TECHNOLOGIES- SANTE : BIOLOGIE ET SANTE,69,07
2204791,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE FONDAMENTALE,02,05
2215719,DROIT- ECONOMIE- GESTION : SCIENCES DU MANAGEMENT,62,39
2204580,SCIENCES- TECHNOLOGIES- SANTE : BIOLOGIE ET SANTE,69,06
2200233,DROIT- ECONOMIE- GESTION : ENVIRONNEMENT,05,38
2215723,DROIT- ECONOMIE- GESTION : SCIENCES DU MANAGEMENT,62,39
2200987,DROIT- ECONOMIE- GESTION : ENVIRONNEMENT,05,70
2216038,SCIENCES- TECHNOLOGIES- SANTE : ENVIRONNEMENT,05,69
2215730,DROIT- ECONOMIE- GESTION : SCIENCES DU MANAGEMENT,62,39
